datetime,air_density
2019-01-01 00:00:00,"[[127.85317  127.66981  127.63697 ]
 [127.94649  127.7716   127.5779  ]
 [127.80115  127.720116 127.59933 ]]"
2019-01-01 06:00:00,"[[128.22873  128.01956  127.9689  ]
 [128.28818  128.12001  127.91023 ]
 [128.04962  128.05824  127.933304]]"
2019-01-01 12:00:00,"[[127.19498  127.154205 127.157135]
 [127.42004  127.36378  127.19784 ]
 [127.24906  127.319145 127.25719 ]]"
2019-01-01 18:00:00,"[[128.47833  128.35052  128.23483 ]
 [128.36441  128.2377   128.11006 ]
 [128.08694  128.02672  127.987335]]"
2019-01-02 00:00:00,"[[129.28162 129.04689 128.89662]
 [129.23534 128.97406 128.76709]
 [129.14192 128.8564  128.67906]]"
2019-01-02 06:00:00,"[[129.74638 129.40807 129.16177]
 [129.7179  129.36995 129.10414]
 [129.63744 129.30067 129.05228]]"
2019-01-02 12:00:00,"[[129.72133 129.37209 129.11824]
 [129.85338 129.42041 129.03969]
 [129.7789  129.3152  128.96849]]"
2019-01-02 18:00:00,"[[129.95326 129.56825 129.28296]
 [129.78336 129.43434 129.16698]
 [129.55571 129.30923 129.08733]]"
2019-01-03 00:00:00,"[[130.41426 130.00757 129.7361 ]
 [130.16116 129.8291  129.58002]
 [129.88509 129.69165 129.48184]]"
2019-01-03 06:00:00,"[[130.48508 130.02853 129.74203]
 [130.26817 129.87372 129.5925 ]
 [129.95586 129.68379 129.4633 ]]"
2019-01-03 12:00:00,"[[130.21893 130.02663 129.88354]
 [130.19632 129.98515 129.76598]
 [129.9381  129.77255 129.60812]]"
2019-01-03 18:00:00,"[[130.70218 130.27086 130.0088 ]
 [130.41487 130.07115 129.79922]
 [130.00784 129.83829 129.66167]]"
2019-01-04 00:00:00,"[[131.41994 130.88396 130.48749]
 [130.87422 130.45877 130.1454 ]
 [130.32065 130.09145 129.87405]]"
2019-01-04 06:00:00,"[[131.88849 131.42065 131.0601 ]
 [131.32971 130.9604  130.75113]
 [130.98949 130.70988 130.49763]]"
2019-01-04 12:00:00,"[[131.27946 131.12856 131.00876]
 [131.27792 131.12729 130.98422]
 [131.15479 131.07614 130.9726 ]]"
2019-01-04 18:00:00,"[[130.60371 130.31914 130.1283 ]
 [130.59932 130.27164 130.01335]
 [130.65527 130.26224 129.987  ]]"
2019-01-05 00:00:00,"[[130.0184  129.71846 129.5623 ]
 [130.09866 129.77904 129.47974]
 [130.01791 129.72072 129.42223]]"
